Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2018-06-01 Kl. 02-03;0,46288;0,46288;0,46288;0,37030;0,46288
2018-06-01 Kl. 03-04;0,45846;0,45846;0,45846;0,36677;0,45846
2018-06-01 Kl. 04-05;0,46050;0,46050;0,45323;0,36258;0,46050
2018-06-01 Kl. 05-06;0,49103;0,49103;0,49103;0,39282;0,49103
2018-06-01 Kl. 06-07;0,51773;0,51773;0,55649;0,44519;0,51451
2018-06-01 Kl. 07-08;0,52119;0,52119;0,56399;0,45119;0,51499
2018-06-01 Kl. 08-09;0,52679;0,52679;0,57974;0,46379;0,51260
2018-06-01 Kl. 09-10;0,52715;0,52715;0,58105;0,46484;0,51273
2018-06-01 Kl. 10-11;0,52691;0,52691;0,58069;0,46455;0,51296
2018-06-01 Kl. 11-12;0,52608;0,52608;0,57843;0,46274;0,51380
2018-06-01 Kl. 12-13;0,52548;0,52548;0,57615;0,46092;0,51355
2018-06-01 Kl. 13-14;0,52405;0,52405;0,57150;0,45720;0,51391
2018-06-01 Kl. 14-15;0,52334;0,52334;0,55779;0,44623;0,51284
2018-06-01 Kl. 15-16;0,51260;0,51260;0,55421;0,44337;0,50998
2018-06-01 Kl. 16-17;0,51690;0,51690;0,54289;0,43431;0,51690
2018-06-01 Kl. 17-18;0,51510;0,51510;0,54635;0,43708;0,51510
2018-06-01 Kl. 18-19;0,53025;0,53025;0,55768;0,44614;0,53025
2018-06-01 Kl. 19-20;0,52978;0,52978;0,56030;0,44824;0,52978
2018-06-01 Kl. 20-21;0,52906;0,52906;0,54898;0,43918;0,52906
2018-06-01 Kl. 21-22;0,52786;0,52786;0,54468;0,43574;0,52786
2018-06-01 Kl. 22-23;0,52858;0,52858;0,54123;0,43298;0,52858
2018-06-01 Kl. 23-00;0,52405;0,52405;0,52405;0,41924;0,52405
2018-06-02 Kl. 00-01;0,50234;0,50234;0,50234;0,40187;0,50234
2018-06-02 Kl. 01-02;0,48160;0,48160;0,48160;0,38528;0,48160
2018-06-02 Kl. 02-03;0,46635;0,46635;0,46635;0,37308;0,46635
2018-06-02 Kl. 03-04;0,45873;0,45873;0,45873;0,36698;0,45873
2018-06-02 Kl. 04-05;0,45873;0,45873;0,45873;0,36698;0,45873
2018-06-02 Kl. 05-06;0,46206;0,46206;0,46206;0,36965;0,46206
2018-06-02 Kl. 06-07;0,48196;0,48196;0,48196;0,38557;0,48196
2018-06-02 Kl. 07-08;0,50245;0,50245;0,50245;0,40196;0,50245
2018-06-02 Kl. 08-09;0,51306;0,51306;0,52414;0,41931;0,51306
2018-06-02 Kl. 09-10;0,52009;0,52009;0,54464;0,43571;0,52009
2018-06-02 Kl. 10-11;0,51688;0,51688;0,53880;0,43104;0,51688
2018-06-02 Kl. 11-12;0,51294;0,51294;0,53689;0,42951;0,51294
2018-06-02 Kl. 12-13;0,50615;0,50615;0,52426;0,41941;0,50615
2018-06-02 Kl. 13-14;0,50186;0,50186;0,52306;0,41845;0,50186
2018-06-02 Kl. 14-15;0,50055;0,50055;0,52224;0,41779;0,50055
2018-06-02 Kl. 15-16;0,50174;0,50174;0,51414;0,41131;0,50174
2018-06-02 Kl. 16-17;0,50281;0,50281;0,50841;0,40673;0,50281
2018-06-02 Kl. 17-18;0,51175;0,51175;0,51746;0,41397;0,51175
2018-06-02 Kl. 18-19;0,51640;0,51640;0,54369;0,43495;0,51640
2018-06-02 Kl. 19-20;0,51651;0,51651;0,55155;0,44124;0,51651
2018-06-02 Kl. 20-21;0,51438;0,51438;0,54833;0,43866;0,51438
2018-06-02 Kl. 21-22;0,51330;0,51330;0,54774;0,43819;0,51330
2018-06-02 Kl. 22-23;0,51115;0,51115;0,54654;0,43723;0,51115
2018-06-02 Kl. 23-00;0,50365;0,50365;0,50365;0,40292;0,50365
2018-06-03 Kl. 00-01;0,51643;0,51643;0,51643;0,41314;0,51643
2018-06-03 Kl. 01-02;0,49500;0,49500;0,49500;0,39600;0,49500
2018-06-03 Kl. 02-03;0,47655;0,47655;0,47655;0,38124;0,47655
2018-06-03 Kl. 03-04;0,46810;0,46810;0,46810;0,37448;0,46810
2018-06-03 Kl. 04-05;0,45739;0,45739;0,45739;0,36591;0,45739
2018-06-03 Kl. 05-06;0,46715;0,46715;0,46715;0,37372;0,46715
2018-06-03 Kl. 06-07;0,47821;0,47821;0,47821;0,38257;0,47821
2018-06-03 Kl. 07-08;0,49261;0,49261;0,49261;0,39409;0,49261
2018-06-03 Kl. 08-09;0,51274;0,51274;0,51274;0,41019;0,51274
2018-06-03 Kl. 09-10;0,51856;0,51856;0,51856;0,41485;0,51856
2018-06-03 Kl. 10-11;0,52404;0,52404;0,52404;0,41923;0,52404
2018-06-03 Kl. 11-12;0,52238;0,52238;0,52238;0,41790;0,52238
2018-06-03 Kl. 12-13;0,52238;0,52238;0,52238;0,41790;0,52238
2018-06-03 Kl. 13-14;0,51725;0,51725;0,51725;0,41380;0,51725
2018-06-03 Kl. 14-15;0,49535;0,49535;0,49535;0,39628;0,49535
2018-06-03 Kl. 15-16;0,48763;0,48763;0,48763;0,39010;0,48763
2018-06-03 Kl. 16-17;0,49179;0,49179;0,49179;0,39343;0,49179
2018-06-03 Kl. 17-18;0,50679;0,50679;0,50679;0,40543;0,50679
2018-06-03 Kl. 18-19;0,51856;0,51856;0,51856;0,41485;0,51856
2018-06-03 Kl. 19-20;0,52964;0,52964;0,52964;0,42371;0,52964
2018-06-03 Kl. 20-21;0,53665;0,53665;0,53665;0,42932;0,53665
2018-06-03 Kl. 21-22;0,53880;0,53880;0,53880;0,43104;0,53880
2018-06-03 Kl. 22-23;0,53488;0,53488;0,53488;0,42790;0,53488
2018-06-03 Kl. 23-00;0,48393;0,48393;0,48393;0,38714;0,48393
2018-06-04 Kl. 00-01;0,46358;0,46358;0,46858;0,37486;0,46358
2018-06-04 Kl. 01-02;0,43001;0,43001;0,46894;0,37515;0,43001
2018-06-04 Kl. 02-03;0,38563;0,38563;0,46501;0,37201;0,38563
2018-06-04 Kl. 03-04;0,37420;0,37420;0,46405;0,37124;0,37420
2018-06-04 Kl. 04-05;0,36718;0,36718;0,46299;0,37039;0,36718
2018-06-04 Kl. 05-06;0,44525;0,44525;0,45965;0,36772;0,44525
2018-06-04 Kl. 06-07;0,53214;0,53214;0,53214;0,42571;0,53214
2018-06-04 Kl. 07-08;0,54106;0,54106;0,54106;0,43285;0,54106
2018-06-04 Kl. 08-09;0,54344;0,54344;0,54344;0,43475;0,54344
2018-06-04 Kl. 09-10;0,54475;0,54475;0,54475;0,43580;0,54475
2018-06-04 Kl. 10-11;0,54523;0,54523;0,54523;0,43618;0,54523
2018-06-04 Kl. 11-12;0,54273;0,54273;0,54273;0,43418;0,54273
2018-06-04 Kl. 12-13;0,54249;0,54249;0,54249;0,43399;0,54249
2018-06-04 Kl. 13-14;0,53915;0,53915;0,53915;0,43132;0,53915
2018-06-04 Kl. 14-15;0,53785;0,53785;0,53785;0,43028;0,53785
2018-06-04 Kl. 15-16;0,53630;0,53630;0,53630;0,42904;0,53630
2018-06-04 Kl. 16-17;0,53285;0,53285;0,53285;0,42628;0,53285
2018-06-04 Kl. 17-18;0,54178;0,54178;0,54178;0,43342;0,54178
2018-06-04 Kl. 18-19;0,54833;0,54833;0,54833;0,43866;0,54833
2018-06-04 Kl. 19-20;0,54736;0,54736;0,54736;0,43789;0,54736
2018-06-04 Kl. 20-21;0,54309;0,54309;0,54309;0,43447;0,54309
2018-06-04 Kl. 21-22;0,54023;0,54023;0,54023;0,43218;0,54023
2018-06-04 Kl. 22-23;0,53880;0,53880;0,53880;0,43104;0,53880
2018-06-04 Kl. 23-00;0,51261;0,51261;0,51261;0,41009;0,51261
2018-06-05 Kl. 00-01;0,50708;0,50708;0,50708;0,40566;0,50708
2018-06-05 Kl. 01-02;0,48746;0,48746;0,48746;0,38997;0,48746
2018-06-05 Kl. 02-03;0,46880;0,46880;0,46880;0,37504;0,46880
2018-06-05 Kl. 03-04;0,46774;0,46774;0,46774;0,37419;0,46774
2018-06-05 Kl. 04-05;0,46416;0,46416;0,46416;0,37133;0,46416
2018-06-05 Kl. 05-06;0,49484;0,49484;0,49484;0,39587;0,49484
2018-06-05 Kl. 06-07;0,54476;0,54476;0,54476;0,43581;0,54476
2018-06-05 Kl. 07-08;0,55641;0,55641;0,55641;0,44513;0,55641
2018-06-05 Kl. 08-09;0,55713;0,55713;0,55713;0,44570;0,55713
2018-06-05 Kl. 09-10;0,55784;0,55784;0,55784;0,44627;0,55784
2018-06-05 Kl. 10-11;0,55985;0,55985;0,55985;0,44788;0,55985
2018-06-05 Kl. 11-12;0,56271;0,56271;0,56271;0,45017;0,56271
2018-06-05 Kl. 12-13;0,56128;0,56128;0,56128;0,44902;0,56128
2018-06-05 Kl. 13-14;0,55605;0,55605;0,55605;0,44484;0,55605
2018-06-05 Kl. 14-15;0,55201;0,55201;0,55201;0,44161;0,55201
2018-06-05 Kl. 15-16;0,55486;0,55486;0,55486;0,44389;0,55486
2018-06-05 Kl. 16-17;0,55284;0,55284;0,55284;0,44227;0,55284
2018-06-05 Kl. 17-18;0,55795;0,55795;0,55795;0,44636;0,55795
2018-06-05 Kl. 18-19;0,55938;0,55938;0,55938;0,44750;0,55938
2018-06-05 Kl. 19-20;0,56248;0,56248;0,56248;0,44998;0,56248
2018-06-05 Kl. 20-21;0,56211;0,56211;0,56211;0,44969;0,56211
2018-06-05 Kl. 21-22;0,56021;0,56021;0,56021;0,44817;0,56021
2018-06-05 Kl. 22-23;0,56271;0,56271;0,56271;0,45017;0,56271
2018-06-05 Kl. 23-00;0,53406;0,53406;0,53406;0,42725;0,53406
2018-06-06 Kl. 00-01;0,53418;0,53418;0,53418;0,42734;0,53418
2018-06-06 Kl. 01-02;0,49974;0,49974;0,51256;0,41005;0,49974
2018-06-06 Kl. 02-03;0,48823;0,48823;0,50485;0,40388;0,48823
2018-06-06 Kl. 03-04;0,49416;0,49416;0,49416;0,39533;0,49416
2018-06-06 Kl. 04-05;0,49440;0,49440;0,49440;0,39552;0,49440
2018-06-06 Kl. 05-06;0,52883;0,52883;0,52883;0,42306;0,52883
2018-06-06 Kl. 06-07;0,55614;0,55614;0,55614;0,44491;0,55614
2018-06-06 Kl. 07-08;0,56326;0,56326;0,56326;0,45061;0,56326
2018-06-06 Kl. 08-09;0,56694;0,56694;0,56694;0,45355;0,56694
2018-06-06 Kl. 09-10;0,57015;0,57015;0,57015;0,45612;0,57015
2018-06-06 Kl. 10-11;0,57443;0,57443;0,57443;0,45954;0,57443
2018-06-06 Kl. 11-12;0,57443;0,57443;0,57443;0,45954;0,57443
2018-06-06 Kl. 12-13;0,56789;0,56789;0,56789;0,45431;0,56789
2018-06-06 Kl. 13-14;0,55970;0,55970;0,55970;0,44776;0,55970
2018-06-06 Kl. 14-15;0,55994;0,55994;0,55994;0,44795;0,55994
2018-06-06 Kl. 15-16;0,56409;0,56409;0,56409;0,45127;0,56409
2018-06-06 Kl. 16-17;0,56908;0,56908;0,56908;0,45526;0,56908
2018-06-06 Kl. 17-18;0,57063;0,57063;0,57063;0,45650;0,57063
2018-06-06 Kl. 18-19;0,56813;0,56813;0,56813;0,45450;0,56813
2018-06-06 Kl. 19-20;0,56873;0,56873;0,56873;0,45498;0,56873
2018-06-06 Kl. 20-21;0,57121;0,57121;0,57121;0,45697;0,57121
2018-06-06 Kl. 21-22;0,57158;0,57158;0,57158;0,45726;0,57158
2018-06-06 Kl. 22-23;0,56231;0,56231;0,56231;0,44985;0,56231
2018-06-06 Kl. 23-00;0,53453;0,53453;0,53453;0,42762;0,53453
2018-06-07 Kl. 00-01;0,52544;0,52544;0,53141;0,42513;0,52544
2018-06-07 Kl. 01-02;0,49824;0,49824;0,52748;0,42198;0,49824
2018-06-07 Kl. 02-03;0,48953;0,48953;0,52425;0,41940;0,48953
2018-06-07 Kl. 03-04;0,48619;0,48619;0,51435;0,41148;0,48619
2018-06-07 Kl. 04-05;0,48154;0,48154;0,51280;0,41024;0,48154
2018-06-07 Kl. 05-06;0,51649;0,51649;0,52520;0,42016;0,51649
2018-06-07 Kl. 06-07;0,56326;0,56326;0,56326;0,45061;0,56326
2018-06-07 Kl. 07-08;0,58808;0,58808;0,58808;0,47046;0,58808
2018-06-07 Kl. 08-09;0,59070;0,59070;0,59070;0,47256;0,59070
2018-06-07 Kl. 09-10;0,58784;0,58784;0,58784;0,47027;0,58784
2018-06-07 Kl. 10-11;0,58629;0,58629;0,58629;0,46903;0,58629
2018-06-07 Kl. 11-12;0,58020;0,58020;0,58020;0,46416;0,58020
2018-06-07 Kl. 12-13;0,57245;0,57245;0,57245;0,45796;0,57245
2018-06-07 Kl. 13-14;0,57006;0,57006;0,57006;0,45605;0,57006
2018-06-07 Kl. 14-15;0,57090;0,57090;0,57090;0,45672;0,57090
2018-06-07 Kl. 15-16;0,58020;0,58020;0,58020;0,46416;0,58020
2018-06-07 Kl. 16-17;0,58594;0,58594;0,58594;0,46875;0,58594
2018-06-07 Kl. 17-18;0,58545;0,58545;0,58545;0,46836;0,58545
2018-06-07 Kl. 18-19;0,58581;0,58581;0,58581;0,46865;0,58581
2018-06-07 Kl. 19-20;0,58569;0,58569;0,58569;0,46855;0,58569
2018-06-07 Kl. 20-21;0,58749;0,58749;0,58749;0,46999;0,58749
2018-06-07 Kl. 21-22;0,58963;0,58963;0,58963;0,47170;0,58963
2018-06-07 Kl. 22-23;0,59035;0,59035;0,59035;0,47228;0,59035
2018-06-07 Kl. 23-00;0,55861;0,55861;0,55861;0,44689;0,55861
2018-06-08 Kl. 00-01;0,54669;0,54669;0,54669;0,43735;0,54669
2018-06-08 Kl. 01-02;0,51556;0,51556;0,51556;0,41245;0,51556
2018-06-08 Kl. 02-03;0,50868;0,50868;0,50868;0,40694;0,50868
2018-06-08 Kl. 03-04;0,52245;0,52245;0,52245;0,41796;0,52245
2018-06-08 Kl. 04-05;0,52281;0,52281;0,52281;0,41825;0,52281
2018-06-08 Kl. 05-06;0,55001;0,55001;0,55001;0,44001;0,55001
2018-06-08 Kl. 06-07;0,58126;0,58126;0,58126;0,46501;0,58126
2018-06-08 Kl. 07-08;0,59219;0,59219;0,59219;0,46235;0,59171
2018-06-08 Kl. 08-09;0,60430;0,60430;0,60430;0,46472;0,59183
2018-06-08 Kl. 09-10;0,60704;0,60704;0,60704;0,46738;0,59266
2018-06-08 Kl. 10-11;0,59765;0,59765;0,62830;0,46814;0,59361
2018-06-08 Kl. 11-12;0,59445;0,59445;0,62711;0,46833;0,59325
2018-06-08 Kl. 12-13;0,58850;0,58850;0,58850;0,45997;0,58850
2018-06-08 Kl. 13-14;0,58863;0,58863;0,58863;0,45626;0,58863
2018-06-08 Kl. 14-15;0,58316;0,58316;0,58316;0,45588;0,58316
2018-06-08 Kl. 15-16;0,57401;0,57401;0,57401;0,45921;0,57401
2018-06-08 Kl. 16-17;0,57555;0,57555;0,57555;0,46044;0,57555
2018-06-08 Kl. 17-18;0,57913;0,57913;0,58506;0,46805;0,57913
2018-06-08 Kl. 18-19;0,57818;0,57818;0,58245;0,46596;0,57818
2018-06-08 Kl. 19-20;0,57626;0,57626;0,57674;0,46139;0,57626
2018-06-08 Kl. 20-21;0,57544;0,57544;0,57650;0,46120;0,57544
2018-06-08 Kl. 21-22;0,57591;0,57591;0,57591;0,46073;0,57591
2018-06-08 Kl. 22-23;0,58031;0,58031;0,58399;0,46719;0,58031
2018-06-08 Kl. 23-00;0,56166;0,56166;0,56166;0,44933;0,56166
2018-06-09 Kl. 00-01;0,54929;0,54929;0,54929;0,43943;0,54929
2018-06-09 Kl. 01-02;0,52253;0,52253;0,52253;0,41802;0,52253
2018-06-09 Kl. 02-03;0,50706;0,50706;0,50706;0,40565;0,50706
2018-06-09 Kl. 03-04;0,49969;0,49969;0,49969;0,39975;0,49969
2018-06-09 Kl. 04-05;0,48613;0,48613;0,48613;0,38890;0,48613
2018-06-09 Kl. 05-06;0,49885;0,49885;0,49885;0,39908;0,49885
2018-06-09 Kl. 06-07;0,53728;0,53728;0,53728;0,42982;0,53728
2018-06-09 Kl. 07-08;0,55619;0,55619;0,55619;0,44495;0,55619
2018-06-09 Kl. 08-09;0,56143;0,56143;0,56143;0,44914;0,56143
2018-06-09 Kl. 09-10;0,56725;0,56725;0,56725;0,45380;0,56725
2018-06-09 Kl. 10-11;0,56773;0,56773;0,56773;0,45418;0,56773
2018-06-09 Kl. 11-12;0,56630;0,56630;0,56630;0,45304;0,56630
2018-06-09 Kl. 12-13;0,56130;0,56130;0,56440;0,45152;0,56130
2018-06-09 Kl. 13-14;0,55298;0,55298;0,56320;0,45056;0,55298
2018-06-09 Kl. 14-15;0,54441;0,54441;0,55940;0,44752;0,54441
2018-06-09 Kl. 15-16;0,53989;0,53989;0,55904;0,44723;0,53989
2018-06-09 Kl. 16-17;0,55095;0,55095;0,55880;0,44704;0,55095
2018-06-09 Kl. 17-18;0,56166;0,56166;0,56166;0,44933;0,56166
2018-06-09 Kl. 18-19;0,56773;0,56773;0,57665;0,46132;0,56773
2018-06-09 Kl. 19-20;0,56820;0,56820;0,58235;0,46588;0,56820
2018-06-09 Kl. 20-21;0,56689;0,56689;0,58176;0,46541;0,56689
2018-06-09 Kl. 21-22;0,56570;0,56570;0,57129;0,45703;0,56570
2018-06-09 Kl. 22-23;0,56451;0,56451;0,56451;0,45161;0,56451
2018-06-09 Kl. 23-00;0,53728;0,53728;0,53728;0,42982;0,53728
2018-06-10 Kl. 00-01;0,54005;0,54005;0,54005;0,43204;0,54005
2018-06-10 Kl. 01-02;0,52211;0,52211;0,52211;0,41769;0,52211
2018-06-10 Kl. 02-03;0,51451;0,51451;0,51451;0,41161;0,51451
2018-06-10 Kl. 03-04;0,50120;0,50120;0,50120;0,40096;0,50120
2018-06-10 Kl. 04-05;0,49990;0,49990;0,49990;0,39992;0,49990
2018-06-10 Kl. 05-06;0,50988;0,50988;0,50988;0,40790;0,50988
2018-06-10 Kl. 06-07;0,52508;0,52508;0,52508;0,42006;0,52508
2018-06-10 Kl. 07-08;0,54053;0,54053;0,54053;0,43242;0,54053
2018-06-10 Kl. 08-09;0,55134;0,55134;0,55134;0,44107;0,55134
2018-06-10 Kl. 09-10;0,55216;0,55216;0,55728;0,44582;0,55216
2018-06-10 Kl. 10-11;0,56095;0,56095;0,56416;0,45133;0,56095
2018-06-10 Kl. 11-12;0,56334;0,56334;0,56429;0,45143;0,56334
2018-06-10 Kl. 12-13;0,56239;0,56239;0,56239;0,44991;0,56239
2018-06-10 Kl. 13-14;0,55846;0,55846;0,55846;0,44677;0,55846
2018-06-10 Kl. 14-15;0,54694;0,54694;0,54694;0,43755;0,54694
2018-06-10 Kl. 15-16;0,54016;0,54016;0,54016;0,43213;0,54016
2018-06-10 Kl. 16-17;0,54599;0,54599;0,54599;0,43679;0,54599
2018-06-10 Kl. 17-18;0,55715;0,55715;0,55715;0,44572;0,55715
2018-06-10 Kl. 18-19;0,56583;0,56583;0,56583;0,45266;0,56583
2018-06-10 Kl. 19-20;0,57545;0,57545;0,57795;0,46236;0,57545
2018-06-10 Kl. 20-21;0,57604;0,57604;0,58044;0,46435;0,57604
2018-06-10 Kl. 21-22;0,57260;0,57260;0,57866;0,46293;0,57260
2018-06-10 Kl. 22-23;0,57461;0,57461;0,57651;0,46121;0,57461
2018-06-10 Kl. 23-00;0,55419;0,55419;0,55419;0,44335;0,55419
2018-06-11 Kl. 00-01;0,53934;0,53934;0,53934;0,43147;0,53934
2018-06-11 Kl. 01-02;0,50750;0,50750;0,50750;0,40600;0,50750
2018-06-11 Kl. 02-03;0,50215;0,50215;0,50215;0,40172;0,50215
2018-06-11 Kl. 03-04;0,49229;0,49229;0,49229;0,39383;0,49229
2018-06-11 Kl. 04-05;0,49241;0,49241;0,49241;0,39393;0,49241
2018-06-11 Kl. 05-06;0,52306;0,52306;0,52306;0,41845;0,52306
2018-06-11 Kl. 06-07;0,56334;0,56334;0,56939;0,45551;0,56334
2018-06-11 Kl. 07-08;0,56619;0,56619;0,57961;0,46369;0,56619
2018-06-11 Kl. 08-09;0,56999;0,56999;0,58531;0,46825;0,56999
2018-06-11 Kl. 09-10;0,56999;0,56999;0,57996;0,46397;0,56999
2018-06-11 Kl. 10-11;0,57023;0,57023;0,57901;0,46321;0,57023
2018-06-11 Kl. 11-12;0,57023;0,57023;0,57533;0,46026;0,57023
2018-06-11 Kl. 12-13;0,57023;0,57023;0,57070;0,45656;0,57023
2018-06-11 Kl. 13-14;0,56701;0,56701;0,56701;0,45361;0,56701
2018-06-11 Kl. 14-15;0,56524;0,56524;0,56548;0,45238;0,56524
2018-06-11 Kl. 15-16;0,56606;0,56606;0,56619;0,45295;0,56606
2018-06-11 Kl. 16-17;0,56500;0,56500;0,56500;0,45200;0,56500
2018-06-11 Kl. 17-18;0,56928;0,56928;0,57213;0,45770;0,56928
2018-06-11 Kl. 18-19;0,56963;0,56963;0,58020;0,46416;0,56963
2018-06-11 Kl. 19-20;0,56999;0,56999;0,57664;0,46131;0,56999
2018-06-11 Kl. 20-21;0,56785;0,56785;0,56785;0,45428;0,56785
2018-06-11 Kl. 21-22;0,56535;0,56535;0,56535;0,45228;0,56535
2018-06-11 Kl. 22-23;0,56464;0,56464;0,56464;0,45171;0,56464
2018-06-11 Kl. 23-00;0,53530;0,53530;0,53530;0,42824;0,53530
2018-06-12 Kl. 00-01;0,49821;0,49821;0,49821;0,42014;0,49821
2018-06-12 Kl. 01-02;0,48063;0,48063;0,48063;0,39486;0,48063
2018-06-12 Kl. 02-03;0,46386;0,46386;0,46386;0,38811;0,46386
2018-06-12 Kl. 03-04;0,47468;0,47468;0,47468;0,38602;0,47468
2018-06-12 Kl. 04-05;0,46459;0,46459;0,46459;0,38611;0,46459
2018-06-12 Kl. 05-06;0,49809;0,49809;0,49809;0,39847;0,49809
2018-06-12 Kl. 06-07;0,55513;0,55513;0,55513;0,44410;0,55513
2018-06-12 Kl. 07-08;0,56724;0,56724;0,56724;0,45379;0,56724
2018-06-12 Kl. 08-09;0,57615;0,57615;0,58114;0,46491;0,57615
2018-06-12 Kl. 09-10;0,57639;0,57639;0,58448;0,46758;0,57639
2018-06-12 Kl. 10-11;0,57758;0,57758;0,58685;0,46948;0,57758
2018-06-12 Kl. 11-12;0,57604;0,57604;0,58780;0,47024;0,57604
2018-06-12 Kl. 12-13;0,58353;0,58353;0,58744;0,46995;0,58353
2018-06-12 Kl. 13-14;0,58328;0,58328;0,58543;0,46834;0,58328
2018-06-12 Kl. 14-15;0,58316;0,58316;0,58448;0,46758;0,58316
2018-06-12 Kl. 15-16;0,58043;0,58043;0,58185;0,46548;0,58043
2018-06-12 Kl. 16-17;0,57485;0,57485;0,57485;0,45988;0,57485
2018-06-12 Kl. 17-18;0,57199;0,57199;0,58791;0,47033;0,57199
2018-06-12 Kl. 18-19;0,56998;0,56998;0,59231;0,47385;0,56998
2018-06-12 Kl. 19-20;0,56914;0,56914;0,59219;0,47375;0,56914
2018-06-12 Kl. 20-21;0,56819;0,56819;0,58554;0,46843;0,56819
2018-06-12 Kl. 21-22;0,56296;0,56296;0,58150;0,46520;0,56296
2018-06-12 Kl. 22-23;0,57009;0,57009;0,58114;0,46491;0,57009
2018-06-12 Kl. 23-00;0,54978;0,54978;0,54978;0,43982;0,54978
2018-06-13 Kl. 00-01;0,54524;0,54524;0,54524;0,43619;0,54524
2018-06-13 Kl. 01-02;0,52056;0,52056;0,52056;0,41645;0,52056
2018-06-13 Kl. 02-03;0,50049;0,50049;0,50049;0,40039;0,50049
2018-06-13 Kl. 03-04;0,49554;0,49554;0,49554;0,39643;0,49554
2018-06-13 Kl. 04-05;0,49069;0,49069;0,49069;0,39255;0,49069
2018-06-13 Kl. 05-06;0,51644;0,51644;0,54500;0,43600;0,51644
2018-06-13 Kl. 06-07;0,55268;0,55268;0,55646;0,44517;0,55268
2018-06-13 Kl. 07-08;0,56473;0,56473;0,56473;0,45178;0,56473
2018-06-13 Kl. 08-09;0,56626;0,56626;0,56626;0,45301;0,56626
2018-06-13 Kl. 09-10;0,57500;0,57500;0,57500;0,46000;0,57500
2018-06-13 Kl. 10-11;0,57689;0,57689;0,57689;0,46151;0,57689
2018-06-13 Kl. 11-12;0,58161;0,58161;0,58161;0,46529;0,58161
2018-06-13 Kl. 12-13;0,58101;0,58101;0,58101;0,46481;0,58101
2018-06-13 Kl. 13-14;0,56933;0,56933;0,56933;0,45546;0,56933
2018-06-13 Kl. 14-15;0,56590;0,56590;0,56590;0,45272;0,56590
2018-06-13 Kl. 15-16;0,55905;0,55905;0,55905;0,44724;0,55905
2018-06-13 Kl. 16-17;0,55788;0,55788;0,55788;0,44630;0,55788
2018-06-13 Kl. 17-18;0,56035;0,56035;0,56035;0,44828;0,56035
2018-06-13 Kl. 18-19;0,56178;0,56178;0,56178;0,44942;0,56178
2018-06-13 Kl. 19-20;0,56414;0,56414;0,60074;0,48059;0,56414
2018-06-13 Kl. 20-21;0,56484;0,56484;0,61655;0,49324;0,56484
2018-06-13 Kl. 21-22;0,56425;0,56425;0,58480;0,46784;0,56425
2018-06-13 Kl. 22-23;0,56614;0,56614;0,58444;0,46755;0,56614
2018-06-13 Kl. 23-00;0,55386;0,55386;0,55386;0,44309;0,55386
2018-06-14 Kl. 00-01;0,55719;0,55719;0,55719;0,44575;0,55719
2018-06-14 Kl. 01-02;0,53703;0,53703;0,53703;0,42962;0,53703
2018-06-14 Kl. 02-03;0,51474;0,51474;0,51474;0,42254;0,51474
2018-06-14 Kl. 03-04;0,50683;0,50683;0,50683;0,42112;0,50683
2018-06-14 Kl. 04-05;0,50801;0,50801;0,50801;0,42084;0,50801
2018-06-14 Kl. 05-06;0,52948;0,52948;0,52948;0,42358;0,52948
2018-06-14 Kl. 06-07;0,54716;0,54716;0,54716;0,43773;0,54716
2018-06-14 Kl. 07-08;0,56544;0,56544;0,57829;0,46263;0,56544
2018-06-14 Kl. 08-09;0,58113;0,58113;0,60283;0,48226;0,58113
2018-06-14 Kl. 09-10;0,57664;0,57664;0,57664;0,46131;0,57664
2018-06-14 Kl. 10-11;0,56709;0,56709;0,56709;0,45367;0,56709
2018-06-14 Kl. 11-12;0,56036;0,56036;0,56036;0,44829;0,56036
2018-06-14 Kl. 12-13;0,55825;0,55825;0,55966;0,44773;0,55825
2018-06-14 Kl. 13-14;0,55719;0,55719;0,55719;0,44575;0,55719
2018-06-14 Kl. 14-15;0,54469;0,54469;0,55518;0,44414;0,54469
2018-06-14 Kl. 15-16;0,53454;0,53454;0,55118;0,44094;0,53454
2018-06-14 Kl. 16-17;0,54091;0,54091;0,54150;0,43320;0,54091
2018-06-14 Kl. 17-18;0,55129;0,55129;0,55129;0,44103;0,55129
2018-06-14 Kl. 18-19;0,55506;0,55506;0,55506;0,44405;0,55506
2018-06-14 Kl. 19-20;0,55683;0,55683;0,55683;0,44546;0,55683
2018-06-14 Kl. 20-21;0,55660;0,55660;0,55660;0,44528;0,55660
2018-06-14 Kl. 21-22;0,55306;0,55306;0,55306;0,44245;0,55306
2018-06-14 Kl. 22-23;0,54515;0,54515;0,54515;0,43612;0,54515
2018-06-14 Kl. 23-00;0,48573;0,48573;0,48573;0,38858;0,48573
2018-06-15 Kl. 00-01;0,47383;0,47383;0,47383;0,41322;0,47383
2018-06-15 Kl. 01-02;0,45834;0,45834;0,45834;0,41010;0,45834
2018-06-15 Kl. 02-03;0,44710;0,44710;0,44710;0,40736;0,44710
2018-06-15 Kl. 03-04;0,43491;0,43491;0,43491;0,38512;0,43491
2018-06-15 Kl. 04-05;0,44628;0,44628;0,44628;0,35702;0,44628
2018-06-15 Kl. 05-06;0,49583;0,49583;0,49583;0,39666;0,49583
