Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2016-01-30 Kl. 05-06;0,15500;0,15500;0,16878;0,13502;0,15500
2016-01-30 Kl. 06-07;0,17329;0,17329;0,17055;0,13644;0,17329
2016-01-30 Kl. 07-08;0,17755;0,17755;0,17150;0,13720;0,17755
2016-01-30 Kl. 08-09;0,17815;0,17815;0,17340;0,13872;0,17815
2016-01-30 Kl. 09-10;0,18254;0,18254;0,17613;0,14090;0,18254
2016-01-30 Kl. 10-11;0,18575;0,18575;0,18029;0,14423;0,18575
2016-01-30 Kl. 11-12;0,18621;0,18621;0,18219;0,14575;0,18621
2016-01-30 Kl. 12-13;0,18396;0,18396;0,18053;0,14442;0,18396
2016-01-30 Kl. 13-14;0,18183;0,18183;0,17839;0,14271;0,18183
2016-01-30 Kl. 14-15;0,17958;0,17958;0,17826;0,14261;0,17958
2016-01-30 Kl. 15-16;0,18243;0,18243;0,18243;0,14594;0,18243
2016-01-30 Kl. 16-17;0,19595;0,19595;0,19595;0,15676;0,19595
2016-01-30 Kl. 17-18;0,21031;0,21031;0,21031;0,16056;0,21031
2016-01-30 Kl. 18-19;0,20854;0,20854;0,20854;0,16683;0,20854
2016-01-30 Kl. 19-20;0,20403;0,20403;0,20403;0,16322;0,20403
2016-01-30 Kl. 20-21;0,19928;0,19928;0,19928;0,15942;0,19928
2016-01-30 Kl. 21-22;0,19239;0,19239;0,19239;0,15391;0,19239
2016-01-30 Kl. 22-23;0,18385;0,18385;0,18385;0,14708;0,18385
2016-01-30 Kl. 23-00;0,17541;0,17541;0,17541;0,14033;0,17541
2016-01-31 Kl. 00-01;0,18214;0,18214;0,18214;0,14571;0,18214
2016-01-31 Kl. 01-02;0,18049;0,18049;0,18049;0,14439;0,18049
2016-01-31 Kl. 02-03;0,17860;0,17860;0,17860;0,14288;0,17860
2016-01-31 Kl. 03-04;0,17931;0,17931;0,17931;0,14345;0,17931
2016-01-31 Kl. 04-05;0,18049;0,18049;0,18049;0,14439;0,18049
2016-01-31 Kl. 05-06;0,18166;0,18166;0,18166;0,14533;0,18166
2016-01-31 Kl. 06-07;0,18531;0,18531;0,18531;0,14825;0,18531
2016-01-31 Kl. 07-08;0,18568;0,18568;0,18568;0,14854;0,18568
2016-01-31 Kl. 08-09;0,18685;0,18685;0,18531;0,14825;0,18685
2016-01-31 Kl. 09-10;0,19286;0,19286;0,18874;0,15099;0,19286
2016-01-31 Kl. 10-11;0,19415;0,19415;0,19144;0,15315;0,19415
2016-01-31 Kl. 11-12;0,19380;0,19380;0,19380;0,15504;0,19380
2016-01-31 Kl. 12-13;0,19345;0,19345;0,19345;0,15476;0,19345
2016-01-31 Kl. 13-14;0,19168;0,19168;0,19168;0,15334;0,19168
2016-01-31 Kl. 14-15;0,19050;0,19050;0,19050;0,15240;0,19050
2016-01-31 Kl. 15-16;0,19333;0,19333;0,19333;0,15466;0,19333
2016-01-31 Kl. 16-17;0,20299;0,20299;0,20299;0,16239;0,20299
2016-01-31 Kl. 17-18;0,21454;0,21454;0,21454;0,17163;0,21454
2016-01-31 Kl. 18-19;0,21760;0,21760;0,21760;0,17408;0,21760
2016-01-31 Kl. 19-20;0,21619;0,21619;0,21619;0,17295;0,21619
2016-01-31 Kl. 20-21;0,21241;0,21241;0,21241;0,16993;0,21241
2016-01-31 Kl. 21-22;0,20746;0,20746;0,20746;0,16597;0,20746
2016-01-31 Kl. 22-23;0,20594;0,20594;0,20594;0,16475;0,20594
2016-01-31 Kl. 23-00;0,19380;0,19380;0,19380;0,15504;0,19380
2016-02-01 Kl. 00-01;0,19215;0,19215;0,19215;0,15372;0,19215
2016-02-01 Kl. 01-02;0,18179;0,18179;0,18179;0,14543;0,18179
2016-02-01 Kl. 02-03;0,18344;0,18344;0,18344;0,14675;0,18344
2016-02-01 Kl. 03-04;0,18544;0,18544;0,18544;0,14835;0,18544
2016-02-01 Kl. 04-05;0,19180;0,19180;0,19180;0,15344;0,19180
2016-02-01 Kl. 05-06;0,20594;0,20594;0,20594;0,16475;0,20594
2016-02-01 Kl. 06-07;0,22160;0,22160;0,22160;0,17728;0,22160
2016-02-01 Kl. 07-08;0,30206;0,30206;0,23515;0,18812;0,30206
2016-02-01 Kl. 08-09;0,41351;0,41351;0,22831;0,18265;0,41351
2016-02-01 Kl. 09-10;0,25023;0,25023;0,23103;0,18482;0,25023
2016-02-01 Kl. 10-11;0,23220;0,23220;0,22974;0,18379;0,23220
2016-02-01 Kl. 11-12;0,22266;0,22266;0,22266;0,17813;0,22266
2016-02-01 Kl. 12-13;0,21901;0,21901;0,21901;0,17521;0,21901
2016-02-01 Kl. 13-14;0,21665;0,21665;0,21665;0,17332;0,21665
2016-02-01 Kl. 14-15;0,21406;0,21406;0,21406;0,17125;0,21406
2016-02-01 Kl. 15-16;0,21171;0,21171;0,21171;0,16937;0,21171
2016-02-01 Kl. 16-17;0,21313;0,21313;0,21313;0,17050;0,21313
2016-02-01 Kl. 17-18;0,21725;0,21725;0,21725;0,17380;0,21725
2016-02-01 Kl. 18-19;0,21348;0,21348;0,21348;0,17078;0,21348
2016-02-01 Kl. 19-20;0,20935;0,20935;0,20935;0,16748;0,20935
2016-02-01 Kl. 20-21;0,20440;0,20440;0,20440;0,16352;0,20440
2016-02-01 Kl. 21-22;0,19463;0,19463;0,19463;0,15570;0,19463
2016-02-01 Kl. 22-23;0,18861;0,18861;0,18861;0,15089;0,18861
2016-02-01 Kl. 23-00;0,18096;0,18096;0,18084;0,14467;0,18096
2016-02-02 Kl. 00-01;0,18050;0,18050;0,17885;0,14308;0,18050
2016-02-02 Kl. 01-02;0,17663;0,17663;0,17040;0,13632;0,17663
2016-02-02 Kl. 02-03;0,16476;0,16476;0,16805;0,13444;0,16476
2016-02-02 Kl. 03-04;0,16113;0,16113;0,16781;0,13425;0,16113
2016-02-02 Kl. 04-05;0,17040;0,17040;0,17040;0,13632;0,17040
2016-02-02 Kl. 05-06;0,18156;0,18156;0,18156;0,14525;0,18156
2016-02-02 Kl. 06-07;0,19424;0,19424;0,19424;0,15539;0,19424
2016-02-02 Kl. 07-08;0,21280;0,21280;0,21280;0,17024;0,21280
2016-02-02 Kl. 08-09;0,21526;0,21526;0,21526;0,17221;0,21526
2016-02-02 Kl. 09-10;0,21350;0,21350;0,21350;0,17080;0,21350
2016-02-02 Kl. 10-11;0,21244;0,21244;0,21244;0,16995;0,21244
2016-02-02 Kl. 11-12;0,21126;0,21126;0,21126;0,16901;0,21126
2016-02-02 Kl. 12-13;0,20928;0,20928;0,20928;0,16742;0,20928
2016-02-02 Kl. 13-14;0,20963;0,20963;0,20963;0,16770;0,20963
2016-02-02 Kl. 14-15;0,20893;0,20893;0,20893;0,16714;0,20893
2016-02-02 Kl. 15-16;0,21021;0,21021;0,21021;0,16817;0,21021
2016-02-02 Kl. 16-17;0,21444;0,21444;0,21444;0,17155;0,21444
2016-02-02 Kl. 17-18;0,21855;0,21855;0,21855;0,17484;0,21855
2016-02-02 Kl. 18-19;0,21690;0,21690;0,21690;0,17352;0,21690
2016-02-02 Kl. 19-20;0,21056;0,21056;0,21056;0,16845;0,21056
2016-02-02 Kl. 20-21;0,20586;0,20586;0,20586;0,16469;0,20586
2016-02-02 Kl. 21-22;0,19905;0,19905;0,19905;0,15924;0,19905
2016-02-02 Kl. 22-23;0,18895;0,18895;0,18895;0,15116;0,18895
2016-02-02 Kl. 23-00;0,18403;0,18403;0,18403;0,14722;0,18403
2016-02-03 Kl. 00-01;0,19119;0,19119;0,19119;0,15295;0,19119
2016-02-03 Kl. 01-02;0,18703;0,18703;0,18703;0,14962;0,18703
2016-02-03 Kl. 02-03;0,18630;0,18630;0,18630;0,14904;0,18630
2016-02-03 Kl. 03-04;0,18678;0,18678;0,18678;0,14942;0,18678
2016-02-03 Kl. 04-05;0,18535;0,18535;0,18535;0,14828;0,18535
2016-02-03 Kl. 05-06;0,19546;0,19546;0,19546;0,15637;0,19546
2016-02-03 Kl. 06-07;0,20724;0,20724;0,20724;0,16579;0,20724
2016-02-03 Kl. 07-08;0,22330;0,22330;0,22330;0,17864;0,22330
2016-02-03 Kl. 08-09;0,22961;0,22961;0,22961;0,18369;0,22961
2016-02-03 Kl. 09-10;0,22830;0,22830;0,22830;0,18264;0,22830
2016-02-03 Kl. 10-11;0,22688;0,22688;0,22688;0,18150;0,22688
2016-02-03 Kl. 11-12;0,22498;0,22498;0,22498;0,17998;0,22498
2016-02-03 Kl. 12-13;0,22176;0,22176;0,22176;0,17741;0,22176
2016-02-03 Kl. 13-14;0,22129;0,22129;0,22129;0,17703;0,22129
2016-02-03 Kl. 14-15;0,22033;0,22033;0,22033;0,17626;0,22033
2016-02-03 Kl. 15-16;0,21843;0,21843;0,21843;0,17474;0,21843
2016-02-03 Kl. 16-17;0,22116;0,22116;0,22116;0,17693;0,22116
2016-02-03 Kl. 17-18;0,22628;0,22628;0,22628;0,18102;0,22628
2016-02-03 Kl. 18-19;0,22425;0,22425;0,22425;0,17940;0,22425
2016-02-03 Kl. 19-20;0,21961;0,21961;0,21961;0,17569;0,21961
2016-02-03 Kl. 20-21;0,21415;0,21415;0,21415;0,17132;0,21415
2016-02-03 Kl. 21-22;0,20831;0,20831;0,20831;0,16665;0,20831
2016-02-03 Kl. 22-23;0,20320;0,20320;0,20320;0,16256;0,20320
2016-02-03 Kl. 23-00;0,19761;0,19761;0,19761;0,15809;0,19761
2016-02-04 Kl. 00-01;0,19905;0,19905;0,19905;0,15924;0,19905
2016-02-04 Kl. 01-02;0,19454;0,19454;0,19454;0,15563;0,19454
2016-02-04 Kl. 02-03;0,18990;0,18990;0,18990;0,15192;0,18990
2016-02-04 Kl. 03-04;0,18159;0,18159;0,18159;0,14527;0,18159
2016-02-04 Kl. 04-05;0,18433;0,18433;0,18433;0,14746;0,18433
2016-02-04 Kl. 05-06;0,19953;0,19953;0,19953;0,15962;0,19953
2016-02-04 Kl. 06-07;0,21294;0,21294;0,21294;0,17035;0,21294
2016-02-04 Kl. 07-08;0,22695;0,22695;0,22695;0,18156;0,22695
2016-02-04 Kl. 08-09;0,23408;0,23408;0,23408;0,18726;0,23408
2016-02-04 Kl. 09-10;0,23218;0,23218;0,23218;0,18574;0,23218
2016-02-04 Kl. 10-11;0,23159;0,23159;0,23159;0,18527;0,23159
2016-02-04 Kl. 11-12;0,22613;0,22613;0,22613;0,18090;0,22613
2016-02-04 Kl. 12-13;0,22244;0,22244;0,22244;0,17795;0,22244
2016-02-04 Kl. 13-14;0,22078;0,22078;0,22078;0,17662;0,22078
2016-02-04 Kl. 14-15;0,22019;0,22019;0,22019;0,17615;0,22019
2016-02-04 Kl. 15-16;0,22114;0,22114;0,22114;0,17691;0,22114
2016-02-04 Kl. 16-17;0,22494;0,22494;0,22494;0,17995;0,22494
2016-02-04 Kl. 17-18;0,23740;0,23740;0,22518;0,18014;0,23740
2016-02-04 Kl. 18-19;0,23716;0,23716;0,22423;0,17938;0,23716
2016-02-04 Kl. 19-20;0,23040;0,23040;0,22315;0,17852;0,23040
2016-02-04 Kl. 20-21;0,22410;0,22410;0,22209;0,17767;0,22410
2016-02-04 Kl. 21-22;0,21924;0,21924;0,21924;0,17539;0,21924
2016-02-04 Kl. 22-23;0,21401;0,21401;0,21401;0,17121;0,21401
2016-02-04 Kl. 23-00;0,20831;0,20831;0,20831;0,16665;0,20831
2016-02-05 Kl. 00-01;0,21049;0,21049;0,21049;0,16839;0,21049
2016-02-05 Kl. 01-02;0,20895;0,20895;0,20895;0,16716;0,20895
2016-02-05 Kl. 02-03;0,20871;0,20871;0,20871;0,16697;0,20871
2016-02-05 Kl. 03-04;0,21180;0,21180;0,21180;0,16944;0,21180
2016-02-05 Kl. 04-05;0,21511;0,21511;0,21511;0,17209;0,21511
2016-02-05 Kl. 05-06;0,21880;0,21880;0,21880;0,17504;0,21880
2016-02-05 Kl. 06-07;0,23079;0,23079;0,23079;0,18425;0,23079
2016-02-05 Kl. 07-08;0,30048;0,30048;0,30048;0,19194;0,30048
2016-02-05 Kl. 08-09;0,43320;0,43320;0,36921;0,29537;0,43320
2016-02-05 Kl. 09-10;0,35853;0,35853;0,35853;0,28682;0,35853
2016-02-05 Kl. 10-11;0,30285;0,30285;0,30285;0,24228;0,30285
2016-02-05 Kl. 11-12;0,24813;0,24813;0,24813;0,19850;0,24813
2016-02-05 Kl. 12-13;0,24183;0,24183;0,24183;0,19346;0,24183
2016-02-05 Kl. 13-14;0,23601;0,23601;0,23601;0,18881;0,23601
2016-02-05 Kl. 14-15;0,23435;0,23435;0,23435;0,18748;0,23435
2016-02-05 Kl. 15-16;0,23388;0,23388;0,23388;0,18710;0,23388
2016-02-05 Kl. 16-17;0,23601;0,23601;0,23601;0,18843;0,23601
2016-02-05 Kl. 17-18;0,24990;0,24990;0,24990;0,18796;0,24990
2016-02-05 Kl. 18-19;0,24230;0,24230;0,24230;0,18967;0,24230
2016-02-05 Kl. 19-20;0,23400;0,23400;0,23400;0,18720;0,23400
2016-02-05 Kl. 20-21;0,22699;0,22699;0,22699;0,18159;0,22699
2016-02-05 Kl. 21-22;0,21856;0,21856;0,21856;0,17485;0,21856
2016-02-05 Kl. 22-23;0,21239;0,21239;0,21239;0,16991;0,21239
2016-02-05 Kl. 23-00;0,20598;0,20598;0,20598;0,16478;0,20598
2016-02-06 Kl. 00-01;0,20339;0,20339;0,20339;0,16271;0,20339
2016-02-06 Kl. 01-02;0,19348;0,19348;0,19348;0,15478;0,19348
2016-02-06 Kl. 02-03;0,19133;0,19133;0,19133;0,15306;0,19133
2016-02-06 Kl. 03-04;0,17805;0,17805;0,17805;0,14244;0,17805
2016-02-06 Kl. 04-05;0,17280;0,17280;0,17280;0,13824;0,17280
2016-02-06 Kl. 05-06;0,17364;0,17364;0,17388;0,13910;0,17364
2016-02-06 Kl. 06-07;0,18033;0,18033;0,18033;0,14426;0,18033
2016-02-06 Kl. 07-08;0,19215;0,19215;0,19215;0,15372;0,19215
2016-02-06 Kl. 08-09;0,19503;0,19503;0,19503;0,15602;0,19503
2016-02-06 Kl. 09-10;0,19813;0,19813;0,19813;0,15850;0,19813
2016-02-06 Kl. 10-11;0,20004;0,20004;0,20004;0,16003;0,20004
2016-02-06 Kl. 11-12;0,19718;0,19718;0,19718;0,15774;0,19718
2016-02-06 Kl. 12-13;0,19228;0,19228;0,19228;0,15382;0,19228
2016-02-06 Kl. 13-14;0,18499;0,18499;0,18499;0,14799;0,18499
